spp	x	y
Iriartea deltoidea	-75.33333	-10.2
Iriartea deltoidea	-79.7	0.35361
Iriartea deltoidea	-76.34222	-0.34083
Iriartea deltoidea	-76.53333	-0.4
Iriartea deltoidea	-75.88638	-1.0425
Iriartea deltoidea	-76.16666	-0.08333
Iriartea deltoidea	-76.33333	-0.3
Iriartea deltoidea	-77.16472	-1.02
Iriartea deltoidea	-78.16666	-2.28333
Iriartea deltoidea	-79.26666	0.13333
Iriartea deltoidea	-75.4	-10.5667
Iriartea deltoidea	-78.8333	-4.25
Iriartea deltoidea	-64.44	-9
Iriartea deltoidea	-71.7830556	-4.4240834
Iriartea deltoidea	-71.4077778	-11.8880555
Iriartea deltoidea	-72.9166667	-3.2636111
Iriartea deltoidea	-60.8	-14.53333
Iriartea deltoidea	-77.196233	8.168822
Iriartea deltoidea	-77.1166667	8.05
Iriartea deltoidea	-77.45	0.1333333
Iriartea deltoidea	-70.25	-3.78333
Iriartea deltoidea	-76.08333	-0.86666
Iriartea deltoidea	-76.36666	-0.13333
Iriartea deltoidea	-79.11666	0.05
Iriartea deltoidea	-74.9666667	-9.5166667
Iriartea deltoidea	-77.13333	3.93333
Iriartea deltoidea	-77.81666	-0.9
Iriartea deltoidea	-77.33333	-5.85
Iriartea deltoidea	-75.16666	-8.66666
Iriartea deltoidea	-75.8333333	-3.25
Iriartea deltoidea	-72.83333	-3.7
Iriartea deltoidea	-71.41666	-11.83333
Iriartea deltoidea	-74.91666	-10.25
Iriartea deltoidea	-75.12805	-10.26111
Iriartea deltoidea	-78.25	1.03333
Iriartea deltoidea	-78.1563889	-4.4580556
Iriartea deltoidea	-70.10876	-12.50114
Iriartea deltoidea	-78.67	1.25
Iriartea deltoidea	-68.25	-10.55
Iriartea deltoidea	-77.60781	-0.88475
Iriartea deltoidea	-77.43	-0.78
Iriartea deltoidea	-68.009	-13.951711
Iriartea deltoidea	-76.874317	-0.340522
Iriartea deltoidea	-74.2653	-10.3283
Iriartea deltoidea	-75	-8.67
Iriartea deltoidea	-77	3.92
Iriartea deltoidea	-78.67	-4.03
Iriartea deltoidea	-76.83	-0.33
Iriartea deltoidea	-72.31	-3.6881
