spp	x	y
Licania apetala	-36.84	-10.08
Licania apetala	-63.838889	-7.783056
Licania apetala	-49.0166667	-10.5666667
Licania apetala	-48.4044444	-10.4769445
Licania apetala	-48.4036111	-10.3211111
Licania apetala	-48.1713889	-8.9666667
Licania apetala	-51.1978	-3.47222
Licania apetala	-59.4594	-10.1667
Licania apetala	-50.6166667	-6.6877777
Licania apetala	-49.4986111	-2.2413889
Licania apetala	-45.778611	-2.485639
Licania apetala	-52.7178	-22.1875
Licania apetala	-52.206402	-3.20333
Licania apetala	-72.654744	4.444157
Licania apetala	-71.899971	4.911437
Licania apetala	-71.898176	4.923068
Licania apetala	-71.900688	4.853085
Licania apetala	-71.931906	4.940707
Licania apetala	-72.893832	4.332746
Licania apetala	-72.871703	4.344856
Licania apetala	-72.937602	4.255335
Licania apetala	-72.902314	4.521127
Licania apetala	-72.182016	5.517776
Licania apetala	-72.87299	4.291387
Licania apetala	-72.956672	-1.128353
Licania apetala	-72.940286	-1.222542
Licania apetala	-72.341234	4.315291
Licania apetala	-73.587202	3.88535
Licania apetala	-74.919139	5.982361
Licania apetala	-73.42192	3.531399
Licania apetala	-76.654081	-2.467329
Licania apetala	-67.899444	4.535833
Licania apetala	-71.930492	6.915672
Licania apetala	-61.829444	1.078333
Licania apetala	-61.500833	0.891111
Licania apetala	-61.633333	0.853889
Licania apetala	-61.4425	1.065
Licania apetala	-73.392084	6.838213
Licania apetala	-73.033237	3.995691
Licania apetala	-72.447511	4.840667
Licania apetala	-73.854982	7.152725
Licania apetala	-73.837706	6.983527
Licania apetala	-73.879157	7.124976
Licania apetala	-73.943889	3.336667
Licania apetala	-72.28197	5.59849
Licania apetala	-71.33089	6.21145
Licania apetala	-75.02537	5.990099
Licania apetala	-74.999324	5.985735
Licania apetala	-74.873131	5.967887
Licania apetala	-70.338617	6.897478
Licania apetala	-67.502064	6.110622
Licania apetala	-61.683889	-1.901111
Licania apetala	-61.718056	-1.879167
Licania apetala	-67.527222	6.886667
Licania apetala	-67.506111	6.714722
Licania apetala	-72.426944	0.080556
Licania apetala	-71.5658	6.2222
Licania apetala	-72.482722	2.183472
Licania apetala	-55.132	4.803667
Licania apetala	-55.065667	4.518667
Licania apetala	-54.819833	4.871834
Licania apetala	-78.9	-4.4167
Licania apetala	-78.9069	-4.6103
Licania apetala	-67.569072	3.7355
Licania apetala	-75.688472	1.446361
Licania apetala	-68.247056	3.151667
Licania apetala	-67.712006	4.037606
Licania apetala	-70.966667	1.383333
Licania apetala	-67.0478	2.03133
Licania apetala	-66.51	1.71
Licania apetala	-66.543	1.79139
Licania apetala	-66.5424	1.47161
Licania apetala	-66.1294	1.508
Licania apetala	-67.113333	2.266667
Licania apetala	-64.933333	3.25
Licania apetala	-67.05	1.966667
Licania apetala	-66.4546	1.23489
Licania apetala	-67.616667	5.65
Licania apetala	-65.95	-16.383333
Licania apetala	-55.0825	-2.978889
Licania apetala	-67.1	4.083333
Licania apetala	-67.5	4.966667
Licania apetala	-66.913167	2.983298
Licania apetala	-48.793611	-11.128056
Licania apetala	-67.433333	4.083333
Licania apetala	-65.755333	5.349833
Licania apetala	-67.433333	3.616667
Licania apetala	-72.922778	0.270278
Licania apetala	-49.848055	-9.253611
Licania apetala	-67.420945	4.397201
Licania apetala	-64.5	8
Licania apetala	-72.1	-0.65
Licania apetala	-47.85	-15.533333
Licania apetala	-67.17	5.32
Licania apetala	-67.766667	5.05
Licania apetala	-52.360555	-14.723056
Licania apetala	-67.85	3.53333
Licania apetala	-67.5	4.05
Licania apetala	-66.967721	4.466173
Licania apetala	-48.387778	-9.568333
Licania apetala	-65	8.333333
Licania apetala	-60.9125	-13.594166
Licania apetala	-67.083333	4.516667
Licania apetala	-67.566667	4.9
Licania apetala	-69.25	7.566667
Licania apetala	-67.516667	6.266667
Licania apetala	-71.44694	-1.67194
Licania apetala	-67.083333	6.566667
Licania apetala	-66.75	3.45
Licania apetala	-71.6075	-0.91527
Licania apetala	-69.525	-1.09583
Licania apetala	-67.251061	4.456519
Licania apetala	-71.18083	2.14972
Licania apetala	-68.03917	3.435
Licania apetala	-58.5078	4.28444
Licania apetala	-58.5	4.283333
Licania apetala	-62.9508	-0.7589
Licania apetala	-58.6289	1.58972
Licania apetala	-73.36689	2.31142
Licania apetala	-58.616667	1.583333
Licania apetala	-76.538086	1.025822
Licania apetala	-48.316667	-1.391111
