spp	x	y
Goupia glabra	-63.54	-8.82
Goupia glabra	-63.8683334	-8.6875
Goupia glabra	-48.768902	-1.88389
Goupia glabra	-63.2116667	-8.9961111
Goupia glabra	-62.1856	-9.86306
Goupia glabra	-62.9511111	-9.1825
Goupia glabra	-65.0766667	-9.66
Goupia glabra	-64.3661111	-9.4069444
Goupia glabra	-48.5194445	-7.2047222
Goupia glabra	-74.23944	-0.02083
Goupia glabra	-61.9816667	-10.1913889
Goupia glabra	-52.65	5.15
Goupia glabra	-75	6
Goupia glabra	-74.8	6.05
Goupia glabra	-72.6447222	2.5205556
Goupia glabra	-72.83333	9.1
Goupia glabra	-77.1333333	3.9333333
Goupia glabra	-53.2	3.63333
Goupia glabra	-73.25	-4.16666
Goupia glabra	-66.4166667	1.0833333
Goupia glabra	-65.0666667	6.7166667
Goupia glabra	-64.45	5.15
Goupia glabra	-72	-3.3
Goupia glabra	-73.75	-4.91666
Goupia glabra	-63.5	0.5
Goupia glabra	-65.1902777	7.4158333
Goupia glabra	-65.3166667	3.3
Goupia glabra	-58.71666	7.13333
Goupia glabra	-64.55	2.9333333
Goupia glabra	-63.3	6.26666
Goupia glabra	-65.88527	6.15083
Goupia glabra	-66.5	6.3
Goupia glabra	-66.4	1.4166667
Goupia glabra	-66.16666	0.83333
Goupia glabra	-65.06666	6.66666
Goupia glabra	-59.21666	2.41666
Goupia glabra	-67.05	1.9333333
Goupia glabra	-72.89861	9.59166
Goupia glabra	-58.73333	1.81666
Goupia glabra	-61.91666	3.31666
Goupia glabra	-72.91666	9.58333
Goupia glabra	-73.7666667	-4.9833333
Goupia glabra	-52.88333	0.01666
Goupia glabra	-57.15	0.96666
Goupia glabra	-64.98333	-3.46666
Goupia glabra	-70	-3.03333
Goupia glabra	-76.58333	3.83333
Goupia glabra	-67.25	5.58333
Goupia glabra	-73.6468	-4.8991
Goupia glabra	-72.89421	-3.25582
Goupia glabra	-59.58	-2.53
Goupia glabra	-48.38	-3.27
Goupia glabra	-54.937199	-2.63639
Goupia glabra	-49.460999	-4.009
Goupia glabra	-65.181	-4.5329
Goupia glabra	-51.3816	-1.5858
Goupia glabra	-64.1941	-9.14
Goupia glabra	-48.3457	-3.47343
Goupia glabra	-48.47185	-2.074
Goupia glabra	-48.475	-2.10084
Goupia glabra	-56.16	-13.06
Goupia glabra	-63.8727778	-7.8736111
Goupia glabra	-59.9865854	-2.3900614
Goupia glabra	-60.3208	-2.5636
Goupia glabra	-59.6854736	-2.3153702
Goupia glabra	-49.802752	-3.856206
Goupia glabra	-52.539719	-0.8678545
Goupia glabra	-63.5	-0.5
Goupia glabra	-59.9048156	-2.4341821
Goupia glabra	-49.6395457	-1.6123151
Goupia glabra	-46.08	-3.12
Goupia glabra	-52.375054	-0.89527
Goupia glabra	-59.9158287	-2.7556471
Goupia glabra	-68.1439233	-2.7150365
Goupia glabra	-59.520344	-0.944722
Goupia glabra	-59.847157	-1.515667
Goupia glabra	-64.780916	-3.2735126
Goupia glabra	-59.8109597	-2.4350611
Goupia glabra	-60.0917441	-2.326638
Goupia glabra	-65.6833	-8.3167
Goupia glabra	-54.2333334	-5.6666667
Goupia glabra	-54.9505556	-3.3891666
Goupia glabra	-54.9511111	-3.3711111
Goupia glabra	-58.3141667	0.6522222
Goupia glabra	-56.7330556	-2.5958333
Goupia glabra	-56.4097222	-1.6791667
Goupia glabra	-66.091698	-2.51389
